Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up', parameters='hybridization_cg_params', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_4/cells_4/hybridization_cg_params_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    124 KSP Residual norm 6.606619359427e-01 
    125 KSP Residual norm 6.335153638889e-01 
    126 KSP Residual norm 5.476183728254e-01 
    127 KSP Residual norm 4.966523374184e-01 
    128 KSP Residual norm 4.937092134812e-01 
    129 KSP Residual norm 4.946393539252e-01 
    130 KSP Residual norm 5.178818912095e-01 
    131 KSP Residual norm 5.054087378671e-01 
    132 KSP Residual norm 4.561014845359e-01 
    133 KSP Residual norm 4.312145757804e-01 
    134 KSP Residual norm 3.649854189810e-01 
    135 KSP Residual norm 3.112752566338e-01 
    136 KSP Residual norm 2.749777649335e-01 
    137 KSP Residual norm 2.649445762834e-01 
    138 KSP Residual norm 2.486547899372e-01 
    139 KSP Residual norm 2.567796777722e-01 
    140 KSP Residual norm 2.173427018145e-01 
    141 KSP Residual norm 1.977371993999e-01 
    142 KSP Residual norm 1.936763230558e-01 
    143 KSP Residual norm 1.815800778635e-01 
    144 KSP Residual norm 1.638586039538e-01 
    145 KSP Residual norm 1.514242100700e-01 
    146 KSP Residual norm 1.353032185825e-01 
    147 KSP Residual norm 1.187991589155e-01 
    148 KSP Residual norm 1.047988440702e-01 
    149 KSP Residual norm 9.191985156979e-02 
    150 KSP Residual norm 8.423493552689e-02 
    151 KSP Residual norm 6.701286599054e-02 
    152 KSP Residual norm 5.668267850295e-02 
    153 KSP Residual norm 5.131808060729e-02 
    154 KSP Residual norm 5.356966176569e-02 
    155 KSP Residual norm 5.048345898516e-02 
    156 KSP Residual norm 5.007244890699e-02 
    157 KSP Residual norm 3.756098442173e-02 
    158 KSP Residual norm 3.322737503859e-02 
    159 KSP Residual norm 3.122799645904e-02 
    160 KSP Residual norm 2.312707533674e-02 
    161 KSP Residual norm 2.149496985927e-02 
    162 KSP Residual norm 2.047651359961e-02 
    163 KSP Residual norm 1.683447254572e-02 
    164 KSP Residual norm 1.635101081637e-02 
    165 KSP Residual norm 1.874041906144e-02 
    166 KSP Residual norm 1.733831551419e-02 
    167 KSP Residual norm 1.817178548550e-02 
    168 KSP Residual norm 1.841586669581e-02 
    169 KSP Residual norm 1.881657852731e-02 
    170 KSP Residual norm 1.859489932774e-02 
    171 KSP Residual norm 1.862438012595e-02 
    172 KSP Residual norm 2.013891493323e-02 
    173 KSP Residual norm 1.907997193025e-02 
    174 KSP Residual norm 1.755587320724e-02 
    175 KSP Residual norm 1.858197184003e-02 
    176 KSP Residual norm 1.701557736784e-02 
    177 KSP Residual norm 1.403171641855e-02 
    178 KSP Residual norm 1.362948639015e-02 
    179 KSP Residual norm 1.210601668323e-02 
    180 KSP Residual norm 1.097815315940e-02 
    181 KSP Residual norm 1.022865769086e-02 
    182 KSP Residual norm 8.982735880746e-03 
    183 KSP Residual norm 6.904986165625e-03 
    184 KSP Residual norm 5.290620603710e-03 
    185 KSP Residual norm 4.247714667702e-03 
    186 KSP Residual norm 3.201092237094e-03 
    187 KSP Residual norm 2.799282897515e-03 
    188 KSP Residual norm 2.477771253888e-03 
    189 KSP Residual norm 2.373825353716e-03 
    190 KSP Residual norm 2.344857063393e-03 
    191 KSP Residual norm 2.338456067924e-03 
    192 KSP Residual norm 2.444195273645e-03 
    193 KSP Residual norm 2.655612460970e-03 
    194 KSP Residual norm 2.647986461490e-03 
    195 KSP Residual norm 2.554745138752e-03 
    196 KSP Residual norm 2.491812570155e-03 
    197 KSP Residual norm 2.191851688166e-03 
    198 KSP Residual norm 1.967598420917e-03 
    199 KSP Residual norm 1.767176407527e-03 
    200 KSP Residual norm 1.442391401665e-03 
    201 KSP Residual norm 1.157021118954e-03 
    202 KSP Residual norm 8.606618943218e-04 
    203 KSP Residual norm 6.896585645758e-04 
    204 KSP Residual norm 6.750175107377e-04 
    205 KSP Residual norm 5.353089259202e-04 
    206 KSP Residual norm 6.068106855230e-04 
    207 KSP Residual norm 6.260156498220e-04 
    208 KSP Residual norm 5.248152917338e-04 
    209 KSP Residual norm 5.622994742951e-04 
    210 KSP Residual norm 6.345321550529e-04 
    211 KSP Residual norm 5.052058012172e-04 
    212 KSP Residual norm 4.641404128245e-04 
    213 KSP Residual norm 4.150982518344e-04 
    214 KSP Residual norm 3.443316694434e-04 
    215 KSP Residual norm 3.020149523572e-04 
    216 KSP Residual norm 2.684761129698e-04 
    217 KSP Residual norm 2.301632313768e-04 
    218 KSP Residual norm 2.012143415205e-04 
    219 KSP Residual norm 1.574028431237e-04 
    220 KSP Residual norm 1.707202820205e-04 
