Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up', parameters='hybridization_cg_params', p=3, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=4, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case0/trafo_none/order_3/cells_4/hybridization_cg_params_warmed_up_flame.txt:ascii_flamegraph', clean=False, verification=False)

Running:  warmed_up

with params:  hybridization_cg_params

    Residual norms for firedrake_0_ solve.
    124 KSP Residual norm 1.282460511627e-03 
    125 KSP Residual norm 9.605405327988e-04 
    126 KSP Residual norm 6.923123552413e-04 
    127 KSP Residual norm 5.085572578958e-04 
    128 KSP Residual norm 3.925293441893e-04 
    129 KSP Residual norm 3.678861144760e-04 
    130 KSP Residual norm 3.418032521687e-04 
    131 KSP Residual norm 3.627410142824e-04 
    132 KSP Residual norm 3.507337295327e-04 
    133 KSP Residual norm 3.164002278435e-04 
    134 KSP Residual norm 2.478507740974e-04 
    135 KSP Residual norm 1.884314604345e-04 
    136 KSP Residual norm 1.394567870469e-04 
    137 KSP Residual norm 1.169477890988e-04 
    138 KSP Residual norm 1.011053954439e-04 
    139 KSP Residual norm 1.013077406219e-04 
    140 KSP Residual norm 9.459505816663e-05 
    141 KSP Residual norm 9.527312797655e-05 
    142 KSP Residual norm 8.674902023071e-05 
    143 KSP Residual norm 7.937597620890e-05 
    144 KSP Residual norm 6.159154646681e-05 
    145 KSP Residual norm 5.707056024426e-05 
    146 KSP Residual norm 4.738390303981e-05 
    147 KSP Residual norm 4.698607866273e-05 
    148 KSP Residual norm 3.934926243543e-05 
    149 KSP Residual norm 4.103316507437e-05 
    150 KSP Residual norm 3.783313110773e-05 
    151 KSP Residual norm 3.423797000939e-05 
    152 KSP Residual norm 2.772176250579e-05 
    153 KSP Residual norm 2.582031383307e-05 
    154 KSP Residual norm 2.277486560435e-05 
    155 KSP Residual norm 1.928017635373e-05 
    156 KSP Residual norm 1.511431516709e-05 
    157 KSP Residual norm 1.305383713310e-05 
    158 KSP Residual norm 1.086123719661e-05 
    159 KSP Residual norm 9.159791605747e-06 
    160 KSP Residual norm 8.041900447971e-06 
    161 KSP Residual norm 7.750102190833e-06 
    162 KSP Residual norm 6.698943145973e-06 
    163 KSP Residual norm 5.681634531508e-06 
    164 KSP Residual norm 4.930050621513e-06 
    165 KSP Residual norm 4.148882971144e-06 
    166 KSP Residual norm 3.645084904077e-06 
    167 KSP Residual norm 3.030394770699e-06 
    168 KSP Residual norm 2.729926583334e-06 
    169 KSP Residual norm 2.480490821859e-06 
    170 KSP Residual norm 2.260578318959e-06 
    171 KSP Residual norm 1.832586700556e-06 
    172 KSP Residual norm 1.691014128891e-06 
    173 KSP Residual norm 1.277404905188e-06 
    174 KSP Residual norm 1.022917997369e-06 
    175 KSP Residual norm 8.282123291507e-07 
    176 KSP Residual norm 7.689575550538e-07 
    177 KSP Residual norm 7.225295064305e-07 
    178 KSP Residual norm 6.271457272958e-07 
    179 KSP Residual norm 5.909963793824e-07 
    180 KSP Residual norm 5.305149698505e-07 
    181 KSP Residual norm 4.649421626128e-07 
    182 KSP Residual norm 3.667555484078e-07 
    183 KSP Residual norm 3.295756783836e-07 
    184 KSP Residual norm 2.898410307013e-07 
    185 KSP Residual norm 2.598407473343e-07 
    186 KSP Residual norm 2.128509043034e-07 
    187 KSP Residual norm 2.010137111105e-07 
    188 KSP Residual norm 1.696737715311e-07 
    189 KSP Residual norm 1.477207271600e-07 
    190 KSP Residual norm 1.226405471332e-07 
    191 KSP Residual norm 1.141746563679e-07 
    192 KSP Residual norm 9.633439098763e-08 
    193 KSP Residual norm 8.904199435293e-08 
    194 KSP Residual norm 7.764507507118e-08 
    195 KSP Residual norm 7.336734951683e-08 
    196 KSP Residual norm 5.575748574322e-08 
    197 KSP Residual norm 5.015100511146e-08 
    198 KSP Residual norm 4.321784089029e-08 
    199 KSP Residual norm 3.976292787470e-08 
    200 KSP Residual norm 3.551919347520e-08 
    201 KSP Residual norm 3.164221990373e-08 
    202 KSP Residual norm 2.892164511875e-08 
    203 KSP Residual norm 2.515267069825e-08 
    204 KSP Residual norm 1.971068883738e-08 
    205 KSP Residual norm 1.602862481529e-08 
    206 KSP Residual norm 1.476855170174e-08 
    207 KSP Residual norm 1.296645643768e-08 
    208 KSP Residual norm 1.098047398742e-08 
    209 KSP Residual norm 9.096364485446e-09 
    210 KSP Residual norm 7.346404017752e-09 
    211 KSP Residual norm 6.449551410089e-09 
    212 KSP Residual norm 5.468279359187e-09 
    213 KSP Residual norm 5.088879534935e-09 
    214 KSP Residual norm 4.461023540762e-09 
    215 KSP Residual norm 4.358233007024e-09 
    216 KSP Residual norm 3.741392558839e-09 
    217 KSP Residual norm 3.415447207978e-09 
    218 KSP Residual norm 3.239153353057e-09 
    219 KSP Residual norm 2.499648482942e-09 
    220 KSP Residual norm 2.362635791519e-09 
    221 KSP Residual norm 2.006710984405e-09 
    222 KSP Residual norm 1.935774496771e-09 
    223 KSP Residual norm 1.792722252035e-09 
    224 KSP Residual norm 1.513735374371e-09 
    225 KSP Residual norm 1.216575114435e-09 
    226 KSP Residual norm 1.025016115391e-09 
    227 KSP Residual norm 8.265586604109e-10 
    228 KSP Residual norm 7.177063751654e-10 
    229 KSP Residual norm 6.829230905203e-10 
    230 KSP Residual norm 5.721814809651e-10 
    231 KSP Residual norm 5.183513878114e-10 
    232 KSP Residual norm 4.498280313069e-10 
    233 KSP Residual norm 3.705268806914e-10 
    234 KSP Residual norm 3.045804137547e-10 
    235 KSP Residual norm 2.712199293721e-10 
    236 KSP Residual norm 2.045473376193e-10 
    237 KSP Residual norm 1.919647677937e-10 
    238 KSP Residual norm 1.371977274549e-10 
    239 KSP Residual norm 1.032923485293e-10 
    240 KSP Residual norm 8.557288526671e-11 
    241 KSP Residual norm 6.773688693572e-11 
    242 KSP Residual norm 5.856201009736e-11 
    1 KSP Residual norm 2.826974650778e-12 
KSP Object: (firedrake_0_) 1 MPI processes
  type: fgmres
    restart=30, using Classical (unmodified) Gram-Schmidt Orthogonalization with no iterative refinement
    happy breakdown tolerance 1e-30
  maximum iterations=2, initial guess is zero
  tolerances:  relative=1e-09, absolute=1e-90, divergence=10000.
  right preconditioning
  using UNPRECONDITIONED norm type for convergence test
PC Object: (firedrake_0_) 1 MPI processes
  type: python
    Python: firedrake.HybridizationPC
  Firedrake custom preconditioner HybridizationPC
  Applying hybridization to mixed problem.
  Statically condensing to trace system.
  KSP solver for the multipliers:
  KSP Object: (firedrake_0_hybridization_) 1 MPI processes
    type: cg
    maximum iterations=10000, initial guess is zero
