,deformation from 1.0 in percentage : 20,deformation from 1.0 in percentage : 40,deformation from 1.0 in percentage : 60,deformation from 1.0 in percentage : 80,deformation from 1.0 in percentage : 100,deformation from 1.0 in percentage : 120,deformation from 1.0 in percentage : 140,deformation from 1.0 in percentage : 160,deformation from 1.0 in percentage : 180,deformation from 1.0 in percentage : 200,deformation from 1.0 in percentage : 220,deformation from 1.0 in percentage : 240,deformation from 1.0 in percentage : 260,deformation from 1.0 in percentage : 280,deformation from 1.0 in percentage : 300,deformation from 1.0 in percentage : 320,deformation from 1.0 in percentage : 340,deformation from 1.0 in percentage : 360,deformation from 1.0 in percentage : 380,deformation from 1.0 in percentage : 400,deformation from 1.0 in percentage : 420,deformation from 1.0 in percentage : 440,deformation from 1.0 in percentage : 460,deformation from 1.0 in percentage : 480,deformation from 1.0 in percentage : 500
0,"[(-2.3048682451649936, 2.63176630952756), (-0.810726980518208, 0.9571212972686702), (-0.6456789703738359, 0.7289106424917093), (-0.41104472096025296, 0.4484799103643054), (-0.30210289025991216, 0.32456728994056167), (-0.22487945680362703, 0.2386463788643913)]","[(-2.3357986460133495, 2.574230606941936), (-0.8200330516552812, 0.9280015064085014), (-0.6515548396437907, 0.7184847849945596), (-0.4140859889030793, 0.44387412683351357), (-0.3038505362660394, 0.32215942161722294), (-0.2259877707851394, 0.23720226535415806)]","[(-2.3512288374594355, 2.5533615569360553), (-0.8251522317769387, 0.9168421221359315), (-0.6548796514444443, 0.7135390059750201), (-0.4157367277110467, 0.4416961460318342), (-0.3048201495407086, 0.32094133537297653), (-0.22659954596055265, 0.23646352644496726)]","[(-2.3598776303560687, 2.5429045148389307), (-0.8282376217469147, 0.9111594109259359), (-0.656923139225953, 0.7107566632445782), (-0.41672398555387813, 0.4404748245261937), (-0.3054112111359265, 0.3202315223532347), (-0.22697055603025348, 0.2360325067980881)]","[(-2.3648505887155467, 2.537216214741678), (-0.8301068423729331, 0.9081027481029037), (-0.6581937484167633, 0.7091385657212388), (-0.41732194689156377, 0.4397687356783987), (-0.30577602266537773, 0.3198090953349722), (-0.2271980922436363, 0.23577617900378295)]","[(-2.3675503983559016, 2.5342692869584464), (-0.8311656773698108, 0.9065958590118516), (-0.6589486028251226, 0.7082530820726309), (-0.4176645359101068, 0.4393865073104392), (-0.3059902606545729, 0.3195729199048879), (-0.2273304310041614, 0.2356330981284429)]","[(-2.36871000894187, 2.5331246968364636), (-0.8316503684752683, 0.9061321079354199), (-0.6593359992417579, 0.707875861103091), (-0.41782741519186545, 0.4392284399531073), (-0.30609733500843256, 0.31946808820577743), (-0.2273952116259926, 0.23556981216160497)]","[(-2.368753034233418, 2.533274252413065), (-0.8317133296821327, 0.9064430014068042), (-0.6594493570998926, 0.7078759757786127), (-0.41785765006080805, 0.43923637488753914), (-0.3061245707735939, 0.3194614837535868), (-0.22740979322373103, 0.2355661300082625)]","[(-2.367943566337161, 2.534412272635119), (-0.8314598239269243, 0.9073775567243773), (-0.6593514518205182, 0.7081707352417491), (-0.41778660520078736, 0.43937367788500004), (-0.30609033569514005, 0.3195316424519924), (-0.22738581758428666, 0.2356089627339945)]","[(-2.36645655350253, 2.5363403303834375), (-0.8309659548797679, 0.908850484903774), (-0.6590866145826815, 0.708704880553408), (-0.41763629239720573, 0.43961596929331365), (-0.3060075966539757, 0.3196639066031877), (-0.2273314850690865, 0.23568936978751023)]","[(-2.364413980127572, 2.5389220491556244), (-0.8302884785743736, 0.9108174977813318), (-0.6586874079581233, 0.709439934311903), (-0.4174227925743148, 0.4399463578561529), (-0.3058858616414623, 0.31984786555129113), (-0.22725279629571365, 0.2358009967993642)]","[(-2.361904790449579, 2.5420594864480672), (-0.8294706296256869, 0.9132628777161397), (-0.6581785224267628, 0.7103482943129683), (-0.4171582345938491, 0.44035279077064265), (-0.30573231579422716, 0.320075898849722), (-0.22715427760236875, 0.23593918604827477)]","[(-2.3589964658754226, 2.5456798358691364), (-0.8285458277309684, 0.9161932645252503), (-0.6575791723046785, 0.7114097475487705), (-0.41685200527241156, 0.4408264878602388), (-0.30555252331398564, 0.3203422970680178), (-0.22703942858722595, 0.23610043971714997)]","[(-2.3557420465143237, 2.5497274759578152), (-0.8275401692184433, 0.9196349652824383), (-0.6569046341066862, 0.7126093085135179), (-0.41651152390295126, 0.4413609702206299), (-0.3053508809444571, 0.32064270570726827), (-0.22691101071782996, 0.2362820804961668)]","[(-2.3521845400457653, 2.5541589758325385), (-0.8264741757757456, 0.923633509069948), (-0.6561672712849613, 0.7139358249431299), (-0.41614275731313344, 0.4419514333787974), (-0.30513092202573355, 0.32097375970860076), (-0.22677124045907235, 0.2364820285237705)]","[(-2.348359770778367, 2.5589398264539924), (-0.8253640632071647, 0.9282548031691862), (-0.6553772388937211, 0.7153810504235113), (-0.41575057368572726, 0.44259432953436456), (-0.30489552686623794, 0.3213328354583048), (-0.22662192262139252, 0.2366986499670149)]","[(-2.3442982662751333, 2.5640422256880027), (-0.8242226853608529, 0.9335875049248832), (-0.6545429818581487, 0.7169390133668568), (-0.41533899253572, 0.4432870817918283), (-0.30464707226459725, 0.3217178779853499), (-0.22646454494472457, 0.23693065137472216)]","[(-2.3400265338135466, 2.5694435324132208), (-0.823060249760587, 0.9397462297973245), (-0.6536715961099608, 0.7186055816054087), (-0.4149113657218952, 0.44402788463877646), (-0.30438754028353054, 0.32212727785430817), (-0.22630034677360797, 0.23717700421836502)]","[(-2.335567941243817, 2.5751251600593172), (-0.8218848678981608, 0.9468749643940342), (-0.652769096159886, 0.720378161101078), (-0.414470511413939, 0.44481556255106447), (-0.30411859900255733, 0.32255978184519385), (-0.2261303699525884, 0.2374368898983841)]","[(-2.3309433365321657, 2.5810717676843233), (-0.8207029829491574, 0.9551494752727788), (-0.6518406172992895, 0.7222554903429508), (-0.4140188152016564, 0.4456494689139994), (-0.303841663546424, 0.32301442719380963), (-0.22595549723373864, 0.23770965896556326)]","[(-2.3261714919675827, 2.587270658411598), (-0.8195197049684243, 0.9647765833237137), (-0.6508905711372543, 0.7242375061613688), (-0.41355830776561, 0.44652941369004523), (-0.3035579429398637, 0.32349049264766677), (-0.22577648173026904, 0.23799480043133242)]","[(-2.3212694291343197, 2.593711326924691), (-0.8183390752879129, 0.9759872111948928), (-0.6499227671699884, 0.7263252657835954), (-0.41309072550608666, 0.44745561216320207), (-0.3032684765883789, 0.3239874617893052), (-0.2255939698306925, 0.23829191837909847)]","[(-2.316252661838369, 2.600385118754293), (-0.8171642761683378, 0.9890201178731919), (-0.6489405091798346, 0.7285209161424798), (-0.41261755856349824, 0.44842864959788453), (-0.302974163040246, 0.32450499550260664), (-0.22540851925711472, 0.23860071395337973)]","[(-2.311135381959632, 2.607284980300989), (-0.8159977977724512, 1.0040958468207988), (-0.6479466726750784, 0.7308277059872327), (-0.4121400893585527, 0.44944945831028155), (-0.30267578291980823, 0.3250429114027992), (-0.22522061346333372, 0.23892097137558002)]","[(-2.305930605176572, 2.6144052965695654), (-0.814841571654426, 1.0213861613650759), (-0.6469437678328691, 0.7332500400316443), (-0.4116594238967618, 0.450519304781274), (-0.30237401740018566, 0.32560116869310496), (-0.2250306732362132, 0.2392525470214355)]"
1,"[16.821695288653007, 59.75398764477438, 257.2622037405216, 635.2101804537967, 1441.7415098681713, 2788.887295696057]","[16.58192293001486, 53.37271941087764, 230.65866808337842, 569.4768762157922, 1295.3892046508488, 2507.460702942535]","[16.37236542641671, 50.076339146749746, 212.71398099630923, 519.7132352345056, 1176.0167105612995, 2268.928541512778]","[16.000899085552287, 48.01258363364552, 200.90718927253852, 482.43990025735684, 1079.3796270460837, 2067.9018720812423]","[15.543269861319471, 46.44158407626036, 193.79694616250598, 459.8224436725752, 1014.4786956816384, 1921.088564539083]","[15.487556403846236, 46.5950243880564, 195.03022198382732, 464.1452482134225, 1028.292912642456, 1960.637190905814]","[16.620175453422533, 50.464229245482485, 213.55738460352765, 514.1480805585355, 1147.0937019738255, 2189.6120225340323]","[17.537903428095028, 54.549194466619085, 234.30031173445897, 570.5868291472307, 1282.7908171080633, 2461.218151402897]","[18.24529944101011, 58.657667905594685, 255.97793976810428, 629.4065394237763, 1423.0645820130535, 2741.199898865317]","[18.7620708221287, 62.76623373556991, 278.1620880937855, 689.4599526837576, 1566.5525435752531, 3048.126892302799]","[19.122183557266272, 66.87442380274241, 300.6749023608853, 750.543935817222, 1722.8200350021507, 3381.068131845439]","[19.37557475076191, 70.99589987946669, 323.48210814394827, 814.3058399421559, 1894.2162392523915, 3729.1295425159956]","[19.595395116566547, 75.16025042980027, 346.74051464788124, 885.499746263215, 2073.2851316849374, 4089.9740653231006]","[19.889004273889242, 79.42541046683957, 371.14810993095523, 961.7342292946629, 2258.3868790443366, 4461.721125334512]","[20.38263800747128, 83.91302459525778, 398.04617839172374, 1040.7716879257823, 2448.568707718874, 4842.757984315792]","[21.141347028589802, 88.85531990373987, 427.22266468442075, 1121.9835463502825, 2643.094306336082, 5231.745779511191]","[22.128816736418884, 94.46012112332984, 457.71447297311397, 1205.039002588218, 2841.3778061692487, 5627.597137529876]","[23.277153911811393, 100.6632128775598, 489.11046055381166, 1289.708929952251, 3042.952898195472, 6029.438550609321]","[24.536515765040118, 107.3202840753847, 521.2437336677906, 1375.8221054651501, 3247.4492158860326, 6436.571343097819]","[25.877056497263496, 114.36993428561634, 554.0266776825888, 1463.2480355821588, 3454.57306009997, 6848.437177240906]","[27.28103086530741, 121.8119351598606, 587.4050356612337, 1551.8873055740644, 3664.0919007321927, 7264.5896487472455]","[28.737353039357767, 129.67820733591307, 621.3428268266562, 1641.6651167887244, 3875.822139467923, 7684.6716721018665]","[30.238684387480372, 138.01878139292717, 655.8161913092863, 1732.5266271669248, 4089.6195607302648, 8108.397756326885]","[31.779909186534933, 146.89314711329075, 690.810401752154, 1824.4334942133216, 4305.371928026533, 8535.540199523193]","[33.35730873817188, 156.3627076446243, 726.3182443800549, 1917.3612886564194, 4522.993262050128, 8965.918346547156]"
2,"[1.0, 4.944864776711789, 12.276545768959044, 20.955969064489025, 37.572760916304375, 59.33082687662271]","[1.0, 4.583421705460745, 9.808985770413203, 18.23906543256047, 30.78188743997887, 45.77306124183901]","[1.0, 4.6564639223434545, 9.701899253448675, 17.193949453586637, 27.73165869475844, 41.40459776221548]","[1.0, 4.822833885663164, 9.706340517154931, 16.945113573685166, 26.99750789637488, 39.37931444580642]","[1.0, 4.922567871322379, 9.728150704686257, 16.982568464584457, 26.83860937458738, 38.89667534179946]","[1.0, 4.9275529184782, 9.720476677907556, 16.96901259299221, 26.783213184813693, 38.78895569510306]","[1.0, 4.849621989650725, 9.656907410341596, 16.82619595479613, 26.63043324928782, 38.589596539045466]","[1.0, 4.717293143724415, 9.538812906621615, 16.58143055296926, 26.36364837250866, 38.256296679291026]","[1.0, 4.56526000811065, 9.382526980303497, 16.314486967545694, 26.038836236162464, 37.93310498172429]","[1.0, 4.423547185593706, 9.20749882104976, 16.104352632168272, 25.71677977863614, 37.76188685227791]","[1.0, 4.309191290318371, 9.030768518955792, 15.97856941185421, 25.44593309519911, 37.75690153952539]","[1.0, 4.226774235594595, 8.865206915053282, 15.921008373017397, 25.260167434601097, 37.867354746480046]","[1.0, 4.176222527999161, 8.71953457909202, 15.911817105965914, 25.176120528412703, 38.05950150258347]","[1.0, 4.15829899281552, 8.599180972337459, 15.940261500839886, 25.192845496222056, 38.31832342045378]","[1.0, 4.174860522586538, 8.507403030984817, 16.00085901674099, 25.296323204314888, 38.634387754720095]","[1.0, 4.226499856371935, 8.446383683313478, 16.089499728547963, 25.467026005193606, 38.998706775420125]","[1.0, 4.310412910807932, 8.418238896316057, 16.20200348927328, 25.686282332309766, 39.402213228578866]","[1.0, 4.420447010098925, 8.425994410738351, 16.3340341448425, 25.939238017690027, 39.8364750308864]","[1.0, 4.54904509843569, 8.474711318597004, 16.481492064389496, 26.215246979839574, 40.29440714383044]","[1.0, 4.68919991801824, 8.572590305116213, 16.640976749644235, 26.507195795411725, 40.770725614870685]","[1.0, 4.8353581878099865, 8.730050698505512, 16.810209859713762, 26.810640180364466, 41.262224256756085]","[1.0, 4.983482068729521, 8.953408821610816, 16.988479684525355, 27.12309113225918, 41.76806478441468]","[1.0, 5.130772250629185, 9.236826618767276, 17.17728906165235, 27.443536208596747, 42.29036747564233]","[1.0, 5.275348340655054, 9.563871996128185, 17.381527856938167, 27.772187679765654, 42.83562624983897]","[1.0, 5.415986807306743, 9.916692610295964, 17.61162606977744, 28.110430232340608, 43.41806385544358]"
3,"[15.995162110726227, 76.85708676707651, 287.03777514472637, 690.1170187511426, 1337.642803031197, 2348.2441220655032]","[9.345391426178884, 35.6320921472842, 124.16027421276851, 258.0965351875715, 473.68545309419693, 796.8015355880573]","[6.319581460542534, 21.074806666291142, 69.18892474513905, 134.27283645816965, 245.2394751630586, 396.95891699868815]","[4.6334575482303455, 13.880974670025449, 44.39448114902892, 82.64348411926863, 150.8733105847872, 238.35710353633092]","[3.621114926021472, 9.926104086716471, 31.563975232866884, 56.881088614598035, 104.52494049790921, 162.1159424049837]","[3.330000516952232, 8.575815438725519, 26.1438908721727, 46.88019540437611, 85.98193971274927, 133.18194299340945]","[3.9123189653786286, 10.66801352686612, 31.439723588610015, 57.025138629265946, 102.95921280879176, 164.17796986854518]","[4.631809572373033, 13.469913170306095, 39.19774568783765, 72.8619395630908, 128.3100887542523, 208.54975594816972]","[5.4285464107637456, 16.660599818488976, 48.0754122847943, 91.19155990266441, 158.80887785384238, 261.7498665198146]","[6.29195758415451, 20.23743988023999, 58.06452065898879, 111.99916655990408, 194.58741855997906, 324.6790853249572]","[7.218820554210285, 24.20820928449278, 69.1877349874508, 135.33380424728162, 237.60295734616824, 399.49576676233323]","[8.207226328721035, 28.58322519802594, 81.47269251744567, 161.2852725848138, 291.0110427575309, 494.4100688568787]","[9.255635691042697, 33.37356759237337, 94.94791917461215, 194.27867786477555, 359.0143207226496, 617.0687125467282]","[10.36263957662695, 38.59033804495207, 109.64582941842977, 236.0800984784409, 442.6722396446586, 766.2100049166547]","[11.526891545907802, 44.24420794286488, 126.02517459904597, 285.6349318180567, 542.532740384813, 943.0880229490912]","[12.747101735010526, 50.34514730388801, 148.3323920336787, 343.39575398013045, 659.7704463945231, 1150.018437614223]","[14.022069925332039, 56.902507104534976, 173.92188892531476, 409.86539952309283, 795.7901192272755, 1389.5327341159004]","[15.350771390437552, 63.92691534463467, 202.8635580346257, 485.57979023370484, 952.0683700741564, 1664.2283732405324]","[16.73255594363113, 71.47305569289324, 235.3689087853704, 571.0889525818411, 1130.104851029062, 1976.7359570154995]","[18.16765145182833, 81.01381293726314, 271.64652237145253, 666.9466120472612, 1331.4045705415945, 2329.716578943767]","[19.658657435419673, 92.0079898332659, 311.90216819005275, 773.7058388648271, 1557.4706741187717, 2725.874219562698]","[21.216078400146944, 104.00853135824424, 356.34074881042676, 891.9181520630461, 1809.8017244765783, 3167.9829552262768]","[22.884122331135273, 117.04450790259048, 405.1676258786351, 1022.1347127650056, 2089.8915310316634, 3658.935026739516]","[24.813667698852957, 131.15146126537832, 458.5892476778476, 1164.9089438207047, 2399.230882873492, 4201.820901689983]","[27.084561387980973, 146.3645018368566, 516.8132312800936, 1320.8002210691316, 2739.311057787119, 4800.054564915332]"
4,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
5,"[7, 168, 483, 720, 1000, 1300]","[7, 160, 396, 594, 770, 924]","[7, 144, 320, 460, 600, 720]","[7, 128, 270, 374, 486, 576]","[5, 78, 224, 304, 400, 480]","[7, 112, 240, 320, 375, 450]","[7, 128, 288, 399, 486, 576]","[7, 152, 378, 483, 609, 735]","[7, 168, 414, 600, 744, 925]","[7, 176, 494, 729, 957, 1131]","[7, 184, 609, 837, 1122, 1353]","[7, 192, 726, 1044, 1332, 1596]","[7, 200, 792, 1160, 1596, 1978]","[7, 208, 880, 1408, 1927, 2400]","[7, 224, 989, 1680, 2091, 2650]","[7, 232, 1058, 1872, 2565, 3190]","[7, 240, 1176, 2072, 2928, 3658]","[7, 240, 1272, 2379, 3036, 4221]","[7, 256, 1242, 2340, 3763, 4745]","[7, 264, 1475, 2760, 4125, 5460]","[7, 272, 1525, 3139, 4560, 5810]","[7, 280, 1674, 3354, 5015, 6688]","[7, 288, 1782, 3526, 5580, 7544]","[7, 288, 1863, 4128, 6204, 8148]","[7, 288, 1917, 4183, 6664, 8772]"
6,"[6, 20, 22, 23, 24, 24]","[6, 19, 21, 21, 21, 21]","[6, 17, 19, 19, 19, 19]","[6, 15, 17, 16, 17, 17]","[4, 12, 15, 15, 15, 15]","[6, 13, 15, 15, 14, 14]","[6, 15, 17, 18, 17, 17]","[6, 18, 20, 20, 20, 20]","[6, 20, 22, 23, 23, 24]","[6, 21, 25, 26, 28, 28]","[6, 22, 28, 30, 32, 32]","[6, 23, 32, 35, 36, 37]","[6, 24, 35, 39, 41, 42]","[6, 25, 39, 43, 46, 47]","[6, 27, 42, 47, 50, 52]","[6, 28, 45, 51, 56, 57]","[6, 29, 48, 55, 60, 61]","[6, 29, 52, 60, 65, 66]","[6, 31, 53, 64, 70, 72]","[6, 32, 58, 68, 74, 77]","[6, 33, 60, 72, 79, 82]","[6, 34, 61, 77, 84, 87]","[6, 35, 65, 81, 89, 91]","[6, 35, 68, 85, 93, 96]","[6, 35, 70, 88, 97, 101]"
7,"[1, 8, 21, 30, 40, 52]","[1, 8, 18, 27, 35, 42]","[1, 8, 16, 23, 30, 36]","[1, 8, 15, 22, 27, 32]","[1, 6, 14, 19, 25, 30]","[1, 8, 15, 20, 25, 30]","[1, 8, 16, 21, 27, 32]","[1, 8, 18, 23, 29, 35]","[1, 8, 18, 25, 31, 37]","[1, 8, 19, 27, 33, 39]","[1, 8, 21, 27, 34, 41]","[1, 8, 22, 29, 36, 42]","[1, 8, 22, 29, 38, 46]","[1, 8, 22, 32, 41, 50]","[1, 8, 23, 35, 41, 50]","[1, 8, 23, 36, 45, 55]","[1, 8, 24, 37, 48, 59]","[1, 8, 24, 39, 46, 63]","[1, 8, 23, 36, 53, 65]","[1, 8, 25, 40, 55, 70]","[1, 8, 25, 43, 57, 70]","[1, 8, 27, 43, 59, 76]","[1, 8, 27, 43, 62, 82]","[1, 8, 27, 48, 66, 84]","[1, 8, 27, 47, 68, 86]"
8,0.2,0.4,0.6000000000000001,0.8,1.0,1.2000000000000002,1.4000000000000001,1.6,1.8,2.0,2.2,2.4000000000000004,2.6,2.8000000000000003,3.0,3.2,3.4000000000000004,3.6,3.8000000000000003,4.0,4.2,4.4,4.6000000000000005,4.800000000000001,5.0
